,split,Frequence (%),Metric name,Scores,D,M
186,leave_drugs_out (test_set 1),1,AUPRC,0.07266115400965328,twosides-NOSYN,AUPRC
187,leave_drugs_out (test_set 1),1,AUPRC,0.145533888635475,twosides-NOSYN,AUPRC
188,leave_drugs_out (test_set 1),1,AUPRC,0.15161687026102286,twosides-NOSYN,AUPRC
189,leave_drugs_out (test_set 1),2,AUPRC,0.5783654359062096,twosides-NOSYN,AUPRC
190,leave_drugs_out (test_set 1),2,AUPRC,0.6916923457667246,twosides-NOSYN,AUPRC
191,leave_drugs_out (test_set 1),1,AUPRC,0.1473111236367651,twosides-NOSYN,AUPRC
192,leave_drugs_out (test_set 1),1,AUPRC,0.11793638443529661,twosides-NOSYN,AUPRC
193,leave_drugs_out (test_set 1),2,AUPRC,0.5133045164478659,twosides-NOSYN,AUPRC
194,leave_drugs_out (test_set 1),1,AUPRC,0.09525474884015249,twosides-NOSYN,AUPRC
195,leave_drugs_out (test_set 1),1,AUPRC,0.025342441784468196,twosides-NOSYN,AUPRC
196,leave_drugs_out (test_set 1),1,AUPRC,0.2785516004194504,twosides-NOSYN,AUPRC
197,leave_drugs_out (test_set 1),2,AUPRC,0.659522399332661,twosides-NOSYN,AUPRC
198,leave_drugs_out (test_set 1),1,AUPRC,0.042620373297503955,twosides-NOSYN,AUPRC
199,leave_drugs_out (test_set 1),1,AUPRC,0.17743917878126314,twosides-NOSYN,AUPRC
200,leave_drugs_out (test_set 1),1,AUPRC,0.3281368326558236,twosides-NOSYN,AUPRC
201,leave_drugs_out (test_set 1),1,AUPRC,0.04168091699048598,twosides-NOSYN,AUPRC
202,leave_drugs_out (test_set 1),1,AUPRC,0.05438047901524787,twosides-NOSYN,AUPRC
203,leave_drugs_out (test_set 1),1,AUPRC,0.03426232636300394,twosides-NOSYN,AUPRC
204,leave_drugs_out (test_set 1),1,AUPRC,0.059994384495351945,twosides-NOSYN,AUPRC
205,leave_drugs_out (test_set 1),1,AUPRC,0.03641751292132863,twosides-NOSYN,AUPRC
206,leave_drugs_out (test_set 1),1,AUPRC,0.32762990015404925,twosides-NOSYN,AUPRC
207,leave_drugs_out (test_set 1),1,AUPRC,0.18681407703895164,twosides-NOSYN,AUPRC
208,leave_drugs_out (test_set 1),2,AUPRC,0.34510390090982257,twosides-NOSYN,AUPRC
209,leave_drugs_out (test_set 1),1,AUPRC,0.10201984262783871,twosides-NOSYN,AUPRC
210,leave_drugs_out (test_set 1),1,AUPRC,0.3437240062754899,twosides-NOSYN,AUPRC
211,leave_drugs_out (test_set 1),1,AUPRC,0.1269326012107641,twosides-NOSYN,AUPRC
212,leave_drugs_out (test_set 1),1,AUPRC,0.03671970737111792,twosides-NOSYN,AUPRC
213,leave_drugs_out (test_set 1),1,AUPRC,0.11082298081809004,twosides-NOSYN,AUPRC
214,leave_drugs_out (test_set 1),1,AUPRC,0.22424397590280454,twosides-NOSYN,AUPRC
215,leave_drugs_out (test_set 1),1,AUPRC,0.19856607167577914,twosides-NOSYN,AUPRC
216,leave_drugs_out (test_set 1),1,AUPRC,0.17434939069220368,twosides-NOSYN,AUPRC
217,leave_drugs_out (test_set 1),1,AUPRC,0.10214500034453386,twosides-NOSYN,AUPRC
218,leave_drugs_out (test_set 1),1,AUPRC,0.21373718397829872,twosides-NOSYN,AUPRC
219,leave_drugs_out (test_set 1),2,AUPRC,0.4034803769826246,twosides-NOSYN,AUPRC
220,leave_drugs_out (test_set 1),1,AUPRC,0.10177807268220548,twosides-NOSYN,AUPRC
221,leave_drugs_out (test_set 1),1,AUPRC,0.04528551709232243,twosides-NOSYN,AUPRC
222,leave_drugs_out (test_set 1),1,AUPRC,0.15131560756790327,twosides-NOSYN,AUPRC
223,leave_drugs_out (test_set 1),1,AUPRC,0.16465628202194155,twosides-NOSYN,AUPRC
